slice,qid,difficulty,top1,recall
locked_194,R114,complex,0,0
locked_194,R115,simple,0,0
locked_194,R116,complex,0,0
locked_194,R117,complex,0,0
locked_194,R118,simple,1,1
locked_194,R119,complex,0,0
locked_194,R120,complex,0,0
locked_194,R121,complex,0,0
locked_194,R122,complex,0,0
locked_194,R123,complex,0,0
locked_194,R124,complex,0,0
locked_194,R125,simple,1,1
locked_194,R126,complex,0,1
locked_194,R127,complex,0,0
locked_194,R128,simple,1,1
locked_194,R129,simple,1,1
locked_194,R130,complex,0,0
locked_194,R132,complex,0,0
locked_194,R133,complex,0,0
locked_194,R134,complex,0,0
locked_194,R135,complex,0,0
locked_194,R136,simple,1,1
locked_194,R137,simple,1,1
locked_194,R138,simple,1,1
locked_194,R139,simple,1,1
locked_194,R140,simple,1,1
locked_194,v3:R01,simple,0,0
locked_194,v3:R02,complex,0,0
locked_194,v3:R03,complex,0,0
locked_194,v3:R04,simple,1,1
locked_194,v3:R05,simple,1,1
locked_194,v3:R06,simple,1,1
locked_194,v3:R07,simple,1,1
locked_194,v3:R08,simple,0,0
locked_194,v3:R09,simple,0,0
locked_194,v3:R10,complex,1,1
locked_194,v3:R11,complex,0,0
locked_194,v3:R12,complex,0,0
locked_194,v3:R13,complex,0,0
locked_194,v3:R14,simple,0,0
locked_194,v3:R15,complex,1,1
locked_194,v3:R16,simple,1,1
locked_194,v3:R17,complex,0,0
locked_194,v3:R18,simple,0,0
locked_194,v3:R19,complex,0,0
locked_194,v3:R20,simple,0,1
locked_194,v3:R21,complex,1,1
locked_194,v3:R22,complex,0,1
locked_194,v3:R23,simple,0,0
locked_194,v3:R24,simple,0,0
locked_194,v3:R25,simple,0,1
locked_194,v3:R26,complex,0,1
locked_194,v3:R27,complex,0,0
locked_194,v3:R28,simple,0,1
locked_194,v3:R29,simple,0,0
locked_194,v3:R30,complex,0,0
locked_194,v3:R31,complex,0,0
locked_194,v3:R32,simple,1,1
locked_194,v3:R33,complex,0,0
locked_194,v3:R34,simple,1,1
locked_194,v3:R35,simple,1,1
locked_194,v3:R36,complex,0,0
locked_194,v3:R37,complex,0,0
locked_194,v3:R38,complex,0,0
locked_194,v3:R39,complex,0,0
locked_194,v3:R40,simple,0,0
locked_194,v2ctrl:R01,complex,0,0
locked_194,v2ctrl:R02,simple,0,0
locked_194,v2ctrl:R03,simple,0,0
locked_194,v2ctrl:R04,complex,0,0
locked_194,v2ctrl:R05,complex,0,0
locked_194,v2ctrl:R06,complex,0,0
locked_194,v2ctrl:R07,simple,0,0
locked_194,v2ctrl:R08,simple,1,1
locked_194,v2ctrl:R09,complex,0,0
locked_194,v2ctrl:R10,complex,0,0
locked_194,v2ctrl:R11,simple,0,0
locked_194,v2ctrl:R12,simple,0,0
locked_194,v2ctrl:R13,simple,0,0
locked_194,v2ctrl:R14,complex,1,1
locked_194,v2ctrl:R15,simple,0,0
locked_194,v2ctrl:R16,simple,1,1
locked_194,v2ctrl:R17,simple,0,0
locked_194,v2ctrl:R18,complex,0,0
locked_194,v2ctrl:R19,complex,0,0
locked_194,v2ctrl:R20,complex,0,0
plus_106,R01,simple,1,1
plus_106,R02,simple,1,1
plus_106,R03,complex,1,1
plus_106,R04,simple,1,1
plus_106,R05,complex,0,0
plus_106,R06,complex,0,0
plus_106,R07,simple,1,1
plus_106,R08,complex,0,0
plus_106,R09,simple,1,1
plus_106,R10,complex,1,1
plus_106,R11,complex,1,1
plus_106,R12,simple,0,0
plus_106,R13,complex,1,1
plus_106,R14,complex,0,1
plus_106,R15,simple,0,0
plus_106,R16,simple,1,1
plus_106,R17,simple,1,1
plus_106,R18,complex,0,0
plus_106,R19,simple,1,1
plus_106,R20,simple,1,1
plus_106,R21,complex,1,1
plus_106,R22,complex,1,1
plus_106,R23,complex,0,1
plus_106,R24,simple,1,1
plus_106,R25,simple,1,1
plus_106,R26,simple,1,1
plus_106,R27,complex,0,0
plus_106,R28,simple,0,0
plus_106,R29,simple,1,1
plus_106,R30,complex,0,0
plus_106,R31,simple,1,1
plus_106,R32,complex,1,1
plus_106,R33,complex,1,1
plus_106,R34,complex,1,1
plus_106,R35,complex,1,1
plus_106,R36,simple,1,1
plus_106,R37,simple,1,1
plus_106,R38,complex,1,1
plus_106,R39,complex,0,0
plus_106,R40,complex,1,1
plus_106,R41,complex,0,0
plus_106,R42,simple,1,1
plus_106,R43,complex,0,0
plus_106,R44,complex,0,0
plus_106,R45,simple,1,1
plus_106,R46,complex,0,0
plus_106,R47,complex,1,1
plus_106,R48,complex,0,0
plus_106,R49,complex,0,0
plus_106,R50,complex,0,0
plus_106,R51,simple,0,1
plus_106,R52,complex,1,1
plus_106,R53,simple,0,0
plus_106,R54,complex,0,0
plus_106,R55,simple,1,1
plus_106,R56,simple,1,1
plus_106,R57,complex,0,0
plus_106,R58,complex,1,1
plus_106,R59,simple,1,1
plus_106,R60,simple,1,1
plus_106,R61,complex,1,1
plus_106,R62,complex,0,0
plus_106,R63,complex,0,0
plus_106,R64,simple,1,1
plus_106,R65,complex,0,0
plus_106,R66,simple,0,0
plus_106,R67,simple,1,1
plus_106,R68,complex,0,0
plus_106,R69,simple,0,0
plus_106,R70,simple,1,1
plus_106,R71,complex,0,0
plus_106,R72,simple,1,1
plus_106,R73,complex,1,1
plus_106,R74,complex,1,1
plus_106,R75,simple,1,1
plus_106,R76,complex,0,0
plus_106,R77,complex,0,0
plus_106,R78,simple,1,1
plus_106,R79,complex,0,0
plus_106,R80,complex,0,0
plus_106,R81,simple,1,1
plus_106,R82,simple,0,1
plus_106,R83,simple,1,1
plus_106,R84,simple,1,1
plus_106,R85,simple,1,1
plus_106,R86,complex,1,1
plus_106,R87,complex,1,1
plus_106,R88,complex,1,1
plus_106,R89,simple,1,1
plus_106,R90,simple,1,1
plus_106,R91,simple,0,0
plus_106,R92,complex,1,1
plus_106,R93,simple,0,0
plus_106,R94,complex,0,0
plus_106,R95,simple,1,1
plus_106,R96,simple,0,0
plus_106,R97,complex,0,0
plus_106,R98,simple,0,0
plus_106,R99,simple,1,1
plus_106,R100,simple,1,1
plus_106,R101,complex,0,1
plus_106,R102,complex,0,0
plus_106,R103,simple,1,1
plus_106,R104,simple,1,1
plus_106,R105,simple,1,1
plus_106,R106,simple,1,1
thinking_200,R01,simple,1,1
thinking_200,R02,simple,0,0
thinking_200,R03,complex,0,0
thinking_200,R04,complex,1,1
thinking_200,R05,simple,1,1
thinking_200,R06,complex,0,0
thinking_200,R07,complex,1,1
thinking_200,R08,simple,1,1
thinking_200,R09,complex,0,0
thinking_200,R10,complex,1,1
thinking_200,R100,complex,1,1
thinking_200,R101,simple,1,1
thinking_200,R103,complex,1,1
thinking_200,R104,simple,1,1
thinking_200,R106,complex,0,0
thinking_200,R108,complex,0,0
thinking_200,R109,simple,0,1
thinking_200,R11,simple,1,1
thinking_200,R110,simple,1,1
thinking_200,R111,complex,0,0
thinking_200,R112,complex,0,0
thinking_200,R113,simple,1,1
thinking_200,R114,complex,0,0
thinking_200,R115,simple,0,0
thinking_200,R116,complex,0,0
thinking_200,R117,complex,0,0
thinking_200,R118,simple,1,1
thinking_200,R119,complex,0,1
thinking_200,R12,simple,1,1
thinking_200,R120,complex,1,1
thinking_200,R121,complex,0,0
thinking_200,R122,simple,1,1
thinking_200,R123,complex,0,0
thinking_200,R124,complex,0,0
thinking_200,R125,complex,0,0
thinking_200,R126,simple,1,1
thinking_200,R127,complex,1,1
thinking_200,R128,complex,1,1
thinking_200,R129,complex,0,0
thinking_200,R13,simple,1,1
thinking_200,R130,complex,0,0
thinking_200,R131,simple,0,0
thinking_200,R132,simple,0,0
thinking_200,R133,complex,1,1
thinking_200,R134,simple,1,1
thinking_200,R135,simple,1,1
thinking_200,R136,complex,0,0
thinking_200,R137,simple,1,1
thinking_200,R139,complex,0,0
thinking_200,R14,simple,0,0
thinking_200,R140,complex,0,0
thinking_200,R141,simple,0,0
thinking_200,R142,complex,0,0
thinking_200,R143,simple,1,1
thinking_200,R144,simple,1,1
thinking_200,R145,complex,0,0
thinking_200,R146,complex,0,0
thinking_200,R147,complex,0,0
thinking_200,R148,complex,0,0
thinking_200,R149,complex,0,0
thinking_200,R15,complex,0,0
thinking_200,R150,complex,1,1
thinking_200,R151,simple,1,1
thinking_200,R152,simple,1,1
thinking_200,R153,simple,1,1
thinking_200,R154,simple,1,1
thinking_200,R155,simple,1,1
thinking_200,R156,simple,1,1
thinking_200,R157,simple,0,0
thinking_200,R158,complex,0,1
thinking_200,R159,simple,1,1
thinking_200,R16,complex,0,0
thinking_200,R160,simple,1,1
thinking_200,R161,complex,1,1
thinking_200,R162,simple,1,1
thinking_200,R163,complex,1,1
thinking_200,R164,complex,0,0
thinking_200,R165,complex,1,1
thinking_200,R166,simple,1,1
thinking_200,R167,simple,1,1
thinking_200,R168,simple,0,1
thinking_200,R169,simple,0,0
thinking_200,R17,complex,0,0
thinking_200,R170,simple,0,0
thinking_200,R171,complex,1,1
thinking_200,R172,complex,0,0
thinking_200,R173,simple,1,1
thinking_200,R174,simple,0,0
thinking_200,R175,simple,1,1
thinking_200,R176,complex,1,1
thinking_200,R177,simple,1,1
thinking_200,R178,complex,1,1
thinking_200,R179,complex,1,1
thinking_200,R18,simple,1,1
thinking_200,R180,simple,1,1
thinking_200,R181,complex,0,0
thinking_200,R182,simple,0,0
thinking_200,R183,complex,0,0
thinking_200,R184,complex,0,0
thinking_200,R185,simple,1,1
thinking_200,R186,complex,0,0
thinking_200,R187,simple,1,1
thinking_200,R188,complex,1,1
thinking_200,R189,simple,0,0
thinking_200,R19,simple,1,1
thinking_200,R190,simple,1,1
thinking_200,R191,simple,1,1
thinking_200,R192,complex,1,1
thinking_200,R193,complex,0,0
thinking_200,R194,complex,0,0
thinking_200,R195,complex,0,0
thinking_200,R196,complex,1,1
thinking_200,R197,simple,0,0
thinking_200,R198,simple,0,0
thinking_200,R199,complex,0,0
thinking_200,R20,complex,1,1
thinking_200,R200,complex,0,0
thinking_200,R201,simple,1,1
thinking_200,R202,simple,1,1
thinking_200,R203,simple,1,1
thinking_200,R204,simple,1,1
thinking_200,R205,complex,1,1
thinking_200,R206,simple,0,0
thinking_200,R207,simple,0,0
thinking_200,R208,complex,0,1
thinking_200,R209,simple,1,1
thinking_200,R21,simple,1,1
thinking_200,R210,complex,1,1
thinking_200,R211,simple,1,1
thinking_200,R212,complex,0,0
thinking_200,R213,complex,0,0
thinking_200,R214,simple,1,1
thinking_200,R215,complex,0,0
thinking_200,R216,complex,0,0
thinking_200,R217,complex,0,0
thinking_200,R218,complex,0,0
thinking_200,R219,complex,1,1
thinking_200,R22,simple,1,1
thinking_200,R220,simple,1,1
thinking_200,R221,simple,0,0
thinking_200,R222,simple,1,1
thinking_200,R223,complex,1,1
thinking_200,R224,complex,0,0
thinking_200,R225,complex,0,0
thinking_200,R226,simple,0,1
thinking_200,R227,simple,0,0
thinking_200,R228,simple,1,1
thinking_200,R229,complex,1,1
thinking_200,R23,simple,1,1
thinking_200,R230,complex,1,1
thinking_200,R24,simple,0,0
thinking_200,R25,complex,0,0
thinking_200,R27,complex,0,0
thinking_200,R28,simple,1,1
thinking_200,R29,simple,1,1
thinking_200,R30,complex,0,0
thinking_200,R32,simple,1,1
thinking_200,R33,simple,1,1
thinking_200,R34,simple,1,1
thinking_200,R35,simple,0,0
thinking_200,R36,simple,1,1
thinking_200,R37,complex,0,1
thinking_200,R38,complex,1,1
thinking_200,R39,complex,0,0
thinking_200,R40,complex,1,1
thinking_200,R41,simple,1,1
thinking_200,R42,complex,1,1
thinking_200,R43,complex,1,1
thinking_200,R44,complex,0,0
thinking_200,R45,simple,1,1
thinking_200,R46,complex,0,0
thinking_200,R47,complex,1,1
thinking_200,R48,simple,1,1
thinking_200,R49,simple,1,1
thinking_200,R50,simple,1,1
thinking_200,R51,complex,0,0
thinking_200,R52,complex,1,1
thinking_200,R53,simple,1,1
thinking_200,R54,simple,0,0
thinking_200,R55,complex,0,0
thinking_200,R56,simple,1,1
thinking_200,R57,complex,1,1
thinking_200,R58,simple,1,1
thinking_200,R59,simple,1,1
thinking_200,R60,complex,0,0
thinking_200,R61,simple,1,1
thinking_200,R62,complex,0,0
thinking_200,R63,simple,1,1
thinking_200,R64,complex,0,0
thinking_200,R65,complex,0,0
thinking_200,R66,complex,0,0
thinking_200,R67,simple,1,1
thinking_200,R68,complex,0,0
thinking_200,R69,complex,1,1
thinking_200,R70,simple,1,1
thinking_200,R71,complex,0,0
thinking_200,R72,simple,1,1
thinking_200,R73,complex,0,0
thinking_200,R74,simple,1,1
thinking_200,R75,complex,1,1
